"label","text"
"spam","DM: ShopKart alert: unusual activity detected. update details to secure your UPI account. Support ticket #6803 is open."
"spam","WhatsApp: Your bank account KYC is incomplete. Send OTP to avoid blocked. Support ticket #8375 is open."
"spam","Notification: courier is pending. Pay $1 redelivery fee at www.account-check.example Offer id LUCKY7."
"spam","DM: Data entry work: earn $700 per day from home. Message START to start. Your reward is already reserved."
"spam","Instagram verification available today. Share login code to continue. Do not ignore this message."
"spam","Telegram: Final notice: wallet access expires in 10 minutes. Verify now at www.account-check.example Reply YES for details."
"ham","WhatsApp: Your package order is out for delivery. Track it in the official app. Bring your ID if needed."
"spam","Telegram: QuickPay alert: unusual activity detected. update details to secure your cloud storage. Limited seats available."
"ham","Telegram: Your parcel order is out for delivery. Track it in the official app. Shared in the official group."
"spam","Telegram: URGENT: cloud storage will be suspended. confirm identity at www.claim-reward.example Support ticket #5516 is open."
"ham","WhatsApp: Shared in the official group. I transferred Rs 500 for rent. Please check and confirm."
"spam","Subject: You are selected for Rs 50,000 instant loan. Reply WIN now. Offer id WIN24."
"spam","Notification: Private photo found with your name. Open www.account-check.example to remove it. Offer id VIP999."
"ham","DM: We can discuss this later. Thanks for sharing the notes. I will read it tonight."
"spam","Alert: Final notice: wallet access expires in 10 minutes. Verify now at www.claim-reward.example Only selected users can access this."
"ham","DM: Reminder: dentist appointment is scheduled for 10:30 AM. Shared in the official group."
"spam","Notification: Congratulations Priya, you won free recharge. confirm identity before before midnight. This link expires in 10 minutes."
"ham","WhatsApp: Can you review the presentation before tomorrow's call? Reference #7378."
"spam","Telegram: Private message found with your name. Open http://tiny.example/pay to remove it. Offer id SAVE50."
"spam","Notification: Part-time job: earn $700 per day from home. Message YES to start. Limited seats available."
"spam","Alert: Your profile KYC is incomplete. Send OTP to avoid closed. No documents required."
"ham","WhatsApp: The dataset update is ready. Feedback welcome when you get time. We can discuss this later."
"spam","Notification: Congratulations Priya, you won gift card. confirm identity before today. Offer id VIP999."
"ham","Telegram: The dataset update is ready. Feedback welcome when you get time. No rush."
"ham","Subject: The assignment update is ready. Feedback welcome when you get time. Call me after 3 PM."
"spam","Telegram: You are selected for Rs 50,000 instant loan. Reply WIN now. Do not ignore this message."
"ham","Reminder: doctor appointment is scheduled for tomorrow. Thanks again."
"ham","WhatsApp: Thanks again. Your email account statement is available in the official app."
"ham","WhatsApp: I transferred Rs 2000 for fees. Please check and confirm. No rush."
"ham","Notification: Cab is waiting near gate 5. Call me if you cannot find it. I will be near main office."
"ham","Notification: Thanks for sharing the proposal. I will read it tonight. Thanks again."
"ham","Call me after tomorrow. Class notes for ML are uploaded in the group folder."
"ham","Subject: Please bring milk on the way back. Thanks again."
"ham","I transferred Rs 2000 for fees. Please check and confirm. Shared in the official group."
"ham","DM: Can you review the resume before tomorrow's call? Reference #3685."
"ham","Telegram: I transferred $700 for booking. Please check and confirm. Shared in the official group."
"spam","Limited seats available. Private video found with your name. Open www.claim-reward.example to remove it."
"spam","DM: Offer id WIN24. Private message found with your name. Open www.account-check.example to remove it."
"spam","Notification: Online work: earn $100 per day from home. Message WIN to start. Processing takes only 2 minutes."
"ham","WhatsApp: Thanks for sharing the notes. I will read it tonight. Thanks again."
"spam","DM: Congratulations Priya, you won free recharge. verify immediately before in 10 minutes. Do not ignore this message."
"spam","WhatsApp: Action required: cloud storage will be blocked. verify immediately at http://bonus.example/start Support ticket #5140 is open."
"ham","Notification: Thanks for sharing the report. I will read it tonight. Call me after 10:30 AM."
"spam","WhatsApp: This link expires in 10 minutes. Video liking job: earn Rs 2000 per day from home. Message WIN to start."
"ham","Telegram: Can you review the notes before tomorrow's call? I will be near room 101."
"spam","Alert: Reply OK for details. Data entry work: earn Rs 2000 per day from home. Message START to start."
"ham","Subject: Bring your ID if needed. Cab is waiting near gate 5. Call me if you cannot find it."
"spam","WhatsApp: Your UPI account KYC is incomplete. Send OTP to avoid closed. Reply START for details."
"spam","Re: Processing takes only 2 minutes. Final notice: cloud storage access expires today. Verify now at www.account-check.example"
"spam","Re: Private video found with your name. Open http://secure-login.example/verify to remove it. Reply YES for details."
"ham","Call me after 10:30 AM. Cab is waiting near gate 5. Call me if you cannot find it."
"spam","Telegram: Offer id FREE100. Congratulations Amit, you won free recharge. verify immediately before now."
"spam","WhatsApp: Private post found with your name. Open http://secure-login.example/verify to remove it. Offer id LUCKY7."
"spam","Telegram: forex bonus active for now. Deposit Rs 2000 and double returns. This link expires within 24 hours."
"spam","Notification: Limited seats available. MailBox reward unlocked. Claim cash prize using code CLAIM88."
"ham","Notification: No rush. The dashboard update is ready. Feedback welcome when you get time."
"spam","Your card KYC is incomplete. Send OTP to avoid restricted. Offer id VIP999."
"ham","DM: Can you review the report before tomorrow's call? Please confirm once done."
"ham","Notification: Shared in the official group. Thanks for sharing the invoice. I will read it tonight."
"ham","Shared in the official group. Friend, meeting moved to 6:30 PM. Please confirm when free."
"spam","Re: Limited seats available. Your cloud storage KYC is incomplete. Send OTP to avoid closed."
"spam","Telegram: Part-time job: earn Rs 2000 per day from home. Message START to start. Processing takes only 2 minutes."
